#YYYY.DECM     baseline(mm)     azimuth(millisecond)
2012.9085     -2.05     -11.27
2012.9112     -2.71     -9.22
2012.9139     -3.89     -10.03
2012.9167     -2.07     -9.71
2012.9194     -2.45     -9.57
2012.9221     -1.61     -10.09
2012.9249     -1.98     -9.86
2012.9276     -3.20     -10.85
2012.9303     -2.98     -9.75
2012.9331     -2.53     -10.13
2012.9358     -2.91     -10.92
2012.9385     -2.73     -9.90
2012.9413     -2.40     -10.30
2012.9440     -1.54     -9.59
2012.9467     -2.71     -11.13
2012.9495     -2.11     -10.78
2012.9522     -1.67     -10.43
2012.9549     -2.00     -11.66
2012.9577     -3.61     -11.18
2012.9604     -1.96     -10.86
2012.9631     -1.17     -12.27
2012.9658     -1.85     -11.64
2012.9686     -2.26     -10.87
2012.9713     -3.34     -10.41
2012.9740     -1.92     -10.35
2012.9768     -3.17     -10.20
2012.9795     -2.73     -10.67
2012.9822     -1.48     -10.72
2012.9850     -3.52     -10.80
2012.9877     -3.49     -10.81
2012.9904     -1.87     -9.85
2012.9932     -3.20     -10.36
2012.9959     -1.87     -11.18
2012.9986     -1.88     -11.07
2013.0014     -0.49     -11.41
2013.0041     -2.50     -11.61
2013.0068     -1.93     -9.80
2013.0096     0.01     -10.47
2013.0123     -3.46     -9.77
2013.0151     -3.46     -11.83
2013.0178     -2.47     -9.86
2013.0205     -3.14     -10.78
2013.0233     -3.98     -11.50
2013.0260     -2.67     -10.76
2013.0288     -2.96     -10.89
2013.0315     -2.83     -11.17
2013.0342     -2.53     -11.55
2013.0370     -2.96     -11.39
2013.0397     -3.17     -10.23
2013.0425     -2.56     -11.43
2013.0452     -4.34     -11.46
2013.0479     -2.64     -13.02
2013.0507     -1.79     -13.74
