#YYYY.DECM     baseline(mm)     azimuth(millisecond)
2012.7637     16.81     18.97
2012.7664     18.11     20.17
2012.7691     20.55     19.59
2012.7719     17.56     19.87
2012.7746     15.03     18.74
2012.7773     20.42     16.81
2012.7801     15.46     16.11
2012.7828     16.28     17.95
2012.7855     18.50     20.32
2012.7883     18.52     20.94
2012.7910     17.79     19.61
2012.7937     17.90     19.84
2012.7964     15.40     17.54
2012.7992     19.62     21.37
2012.8019     17.73     20.45
2012.8046     17.51     17.16
2012.8074     19.41     18.83
2012.8101     14.61     17.51
2012.8128     18.32     22.85
2012.8156     13.60     18.34
2012.8183     18.17     20.36
2012.8210     17.94     20.33
2012.8238     17.89     19.25
2012.8265     19.17     19.08
2012.8292     17.66     19.96
2012.8320     16.40     19.24
2012.8347     14.30     19.34
2012.8374     15.68     20.30
2012.8402     17.75     17.94
2012.8429     13.34     17.53
2012.8456     10.07     16.70
2012.8484     20.13     21.64
2012.8511     25.90     19.13
2012.8538     20.12     18.66
2012.8566     19.44     17.67
2012.8593     17.99     17.54
2012.8620     14.69     18.17
2012.8648     15.97     17.56
2012.8675     25.08     18.77
2012.8702     20.08     22.19
2012.8730     14.90     17.30
2012.8757     19.73     16.41
2012.8784     17.31     18.63
2012.8811     18.65     17.62
2012.8839     28.99     15.66
2012.8866     21.00     20.25
2012.8893     19.46     14.86
2012.8921     21.56     19.81
2012.8948     14.36     19.54
2012.8975     11.18     18.92
2012.9003     19.23     23.73
2012.9030     19.18     19.09
2012.9057     20.08     17.88
2012.9085     16.63     17.20
2012.9112     22.69     19.97
2012.9139     18.47     21.49
2012.9167     17.50     17.60
2012.9194     20.30     19.98
2012.9221     23.44     23.09
2012.9249     16.65     16.47
2012.9276     17.63     18.29
2012.9303     17.02     18.55
2012.9331     17.25     19.03
2012.9358     16.21     21.77
2012.9385     26.10     22.11
2012.9413     16.28     19.30
2012.9440     19.08     21.98
2012.9467     16.81     19.72
2012.9495     22.78     17.96
2012.9522     22.95     16.91
2012.9549     16.02     18.94
2012.9577     22.50     20.56
2012.9604     21.88     21.11
2012.9631     20.17     17.81
2012.9658     21.69     20.80
2012.9686     22.24     19.76
2012.9713     17.30     19.66
2012.9740     16.62     20.31
2012.9768     18.72     19.02
2012.9795     19.37     21.17
2012.9822     21.81     16.89
2012.9850     17.25     18.44
2012.9877     17.55     19.72
2012.9904     23.83     24.30
2012.9932     17.27     21.43
2012.9959     20.19     23.76
2012.9986     15.62     19.80
2013.0014     16.70     19.48
