# Time(a)    BL_length(m)   Sig_bl(m)         Up(mm)  Sig_u(mm)
2011.4644    163961.22739    0.00868         17.8711    0.0000
2011.4671    163961.22486    0.00990         20.5004    0.0000
2011.4699    163961.22709    0.00850         17.1931    0.0000
2011.4726    163961.22553    0.00817         16.9373    0.0000
2011.4753    163961.22821    0.00774         16.0951    0.0000
2011.4781    163961.22699    0.00894         18.4551    0.0000
2011.4808    163961.22369    0.00860         17.9125    0.0000
2011.4836    163961.22586    0.00752         15.4190    0.0000
2011.4863    163961.22750    0.00815         16.9754    0.0000
2011.4890    163961.22669    0.00771         16.1671    0.0000
2011.4918    163961.22575    0.00785         16.2296    0.0000
2011.4945    163961.22832    0.00811         16.8879    0.0000
2011.4973    163961.23027    0.00764         15.7889    0.0000
2011.5000    163961.22590    0.00784         16.3924    0.0000
2011.5027    163961.22759    0.00788         16.3518    0.0000
2011.5055    163961.22848    0.00752         15.7412    0.0000
2011.5082    163961.22590    0.00778         16.3113    0.0000
2011.5110    163961.22551    0.00774         15.8541    0.0000
2011.5137    163961.22688    0.00854         17.3751    0.0000
2011.5192    163961.22754    0.00828         17.2778    0.0000
2011.5247    163961.22938    0.00820         17.1039    0.0000
2011.5301    163961.22836    0.00841         17.3524    0.0000
2011.5329    163961.22608    0.00929         19.6733    0.0000
2011.5356    163961.22505    0.00710         14.6469    0.0000
2011.5384    163961.22726    0.00754         15.6939    0.0000
2011.5411    163961.22934    0.00797         16.6596    0.0000
2011.5438    163961.22715    0.00818         17.0024    0.0000
2011.5466    163961.22681    0.00873         18.3951    0.0000
2011.5493    163961.22886    0.00924         19.3596    0.0000
2011.5521    163961.22520    0.01131         23.5885    0.0000
2011.5548    163961.22665    0.00912         18.9716    0.0000
2011.5575    163961.22626    0.01048         21.6271    0.0000
2011.5603    163961.22773    0.00854         18.0376    0.0000
2011.5630    163961.22871    0.00797         16.2989    0.0000
2011.5658    163961.22823    0.00821         16.8180    0.0000
2011.5685    163961.22639    0.00832         17.0429    0.0000
2011.5712    163961.22836    0.00812         16.6527    0.0000
2011.5740    163961.22659    0.00877         17.9404    0.0000
2011.5767    163961.22499    0.01262         26.8433    0.0000
2011.5795    163961.22678    0.00862         18.0348    0.0000
2011.5822    163961.22897    0.00772         16.0252    0.0000
2011.5849    163961.22861    0.00786         16.1904    0.0000
2011.5877    163961.22753    0.00850         17.4828    0.0000
2011.5904    163961.22860    0.00798         16.5053    0.0000
2011.5931    163961.22837    0.00801         16.4075    0.0000
2011.5959    163961.22825    0.00815         16.7252    0.0000
2011.6014    163961.22903    0.00801         16.5508    0.0000
2011.6041    163961.22927    0.00843         17.5405    0.0000
2011.6068    163961.22935    0.00947         19.8391    0.0000
2011.6096    163961.22771    0.00981         20.4427    0.0000
2011.6123    163961.22724    0.00954         19.8110    0.0000
2011.6151    163961.22790    0.00871         18.0244    0.0000
2011.6178    163961.22969    0.01423         25.3464    0.0000
2011.6205    163961.22924    0.00826         17.1353    0.0000
2011.6233    163961.22814    0.00827         17.1367    0.0000
2011.6260    163961.22933    0.00833         17.2083    0.0000
2011.6288    163961.22815    0.00837         17.2138    0.0000
2011.6315    163961.22532    0.01013         20.7664    0.0000
2011.6342    163961.22943    0.00793         16.5489    0.0000
2011.6370    163961.22862    0.00798         16.5029    0.0000
2011.6397    163961.22851    0.00783         16.0938    0.0000
