#YYYY.DECM     baseline(mm)     azimuth(millisecond)     sigma_baseline(mm)     sigma_azimuth(millisecond)
2011.3438     -1.52     10.14     3.6372     5.9335
2011.3466     3.47     5.73     3.6031     5.5875
2011.3493     -0.99     1.34     3.8771     6.4761
2011.3521     1.79     4.12     4.2347     7.0356
2011.3548     2.05     5.22     3.4148     5.5567
2011.3603     -0.29     13.47     5.0426     8.2361
2011.3630     1.86     1.08     3.4593     5.3926
2011.3658     -1.15     0.15     3.4851     5.4276
2011.3685     0.65     2.64     3.6024     5.5074
2011.3712     -0.07     3.04     3.2855     5.1571
2011.3740     0.89     5.57     3.1766     4.8855
2011.3767     -1.37     7.13     3.5302     5.4870
2011.3795     -4.85     3.02     3.9740     6.2350
2011.3822     -0.44     4.71     3.7959     6.2302
2011.3849     0.74     5.52     3.9508     6.4577
2011.3877     0.21     7.27     4.1142     6.8740
2011.3904     0.83     1.04     3.5730     5.7680
2011.3959     0.77     3.02     3.0236     4.6564
2011.3986     -0.48     6.85     3.0377     4.8268
2011.4014     0.22     7.02     3.2461     5.0289
2011.4041     -0.17     2.33     3.4616     5.3912
2011.4068     -3.25     6.72     3.4871     5.6510
2011.4096     -3.05     4.29     3.1864     5.1002
2011.4123     4.14     0.73     3.7754     6.1219
2011.4151     -0.26     3.29     3.3313     5.3051
2011.4178     -1.50     1.99     3.5438     5.5772
2011.4205     1.66     5.78     3.6304     5.7910
2011.4233     -0.47     1.72     3.5056     5.8301
2011.4260     1.11     4.28     3.5386     5.5736
2011.4288     0.64     2.82     3.2663     5.2831
2011.4315     -1.33     5.33     3.9372     6.1677
2011.4342     4.54     5.79     3.5959     5.5086
2011.4370     2.79     3.62     3.2560     5.1237
2011.4397     -1.14     4.70     3.5496     5.3724
2011.4425     -3.31     3.77     3.5914     5.4945
2011.4479     -2.82     -0.66     3.6465     5.4167
2011.4507     -0.47     2.16     3.5860     5.4089
2011.4534     3.48     5.33     3.3188     5.2057
2011.4562     0.36     4.39     3.3981     5.3843
2011.4589     1.17     2.90     3.9088     6.2175
2011.4616     -2.33     8.55     3.7245     5.5984
2011.4671     -1.45     5.11     3.6792     5.7622
