#YYYY.DECM     baseline(mm)     azimuth(millisecond)     sigma_baseline(mm)     sigma_azimuth(millisecond)
2012.0505     8.20     18.91     3.8513     4.7059
2012.0533     0.80     13.87     4.3579     5.2049
2012.0560     12.94     15.87     4.1286     4.9981
2012.0587     6.60     12.57     4.1390     4.9694
2012.0615     14.86     13.54     3.9671     4.7938
2012.0642     6.99     10.51     4.0089     4.8357
2012.0669     9.60     12.30     4.0367     4.8129
2012.0697     18.00     13.54     4.0257     4.8326
2012.0724     10.99     9.40     4.6902     5.4589
2012.0751     12.79     13.97     3.9497     4.8044
2012.0779     12.10     13.85     4.1547     4.8771
2012.0806     13.73     13.97     4.1391     4.9292
2012.0833     10.36     12.02     4.1501     4.8995
2012.0861     9.37     13.46     4.1132     4.8541
2012.0888     12.93     10.96     4.2230     5.0353
2012.0915     9.60     14.23     4.4602     5.2873
2012.0943     10.75     11.29     4.0955     4.8445
2012.0970     17.40     20.33     4.3332     5.1083
2012.0997     8.39     11.78     4.2346     5.0775
2012.1025     16.43     16.14     4.3232     5.0896
2012.1052     9.39     18.97     4.1182     4.9177
2012.1079     7.84     18.32     3.9327     4.7573
2012.1107     10.05     15.19     4.2840     5.0686
2012.1134     11.36     16.09     4.5550     5.3852
2012.1161     13.96     17.13     4.3146     5.1203
2012.1189     11.53     16.53     4.4610     5.2603
2012.1216     13.84     13.77     4.8300     5.6324
