#YYYY.DECM     baseline(mm)     azimuth(millisecond)     sigma_baseline(mm)     sigma_azimuth(millisecond)
2011.8205     -0.75     -9.50     2.6397     2.1163
2011.8233     -2.36     -10.05     2.6383     2.1127
2011.8260     -2.28     -10.60     2.9966     2.3601
2011.8288     0.18     -11.40     3.8779     2.9359
2011.8315     -0.29     -10.38     3.2134     2.5458
2011.8342     -1.45     -10.29     2.6912     2.1405
2011.8370     -1.84     -11.07     2.9358     2.3214
2011.8397     -3.10     -8.95     4.0128     3.0545
2011.8452     -1.56     -10.31     2.8786     2.2776
2011.8479     -2.69     -9.61     2.7672     2.2004
2011.8507     -3.75     -10.70     2.6249     2.0821
2011.8534     -1.23     -10.29     2.7656     2.1994
2011.8671     -3.00     -10.22     2.5208     2.0331
2011.8699     -1.80     -10.44     2.6389     2.1130
2011.8726     -1.89     -10.58     2.5955     2.0422
2011.8753     -4.25     -10.16     3.4538     2.7274
2011.8781     -1.66     -10.41     2.6611     2.1501
2011.8890     -2.02     -10.08     2.5744     2.0628
2011.8945     -2.52     -10.18     2.7375     2.1600
2011.8973     -1.64     -10.92     2.6715     2.1314
2011.9000     -1.59     -10.85     2.6919     2.1409
2011.9027     -3.26     -10.43     2.4765     1.9598
2011.9055     -3.07     -10.23     2.6214     2.0792
2011.9082     -1.71     -10.14     2.6396     2.1134
2011.9110     -2.08     -10.73     2.4302     1.9375
2011.9137     -2.31     -9.46     2.6878     2.1360
2011.9164     -0.60     -11.54     2.5038     1.9983
2011.9192     -0.91     -10.11     2.4601     1.9776
2011.9301     -2.22     -10.32     3.0403     2.4293
2011.9329     -1.55     -9.70     2.5705     2.0548
2011.9356     -0.09     -10.90     2.7234     2.1836
2011.9384     -1.52     -9.92     2.5191     2.0087
2011.9438     -1.73     -10.81     2.5208     2.0328
2011.9466     -1.72     -11.53     2.4024     1.9504
2011.9493     -1.87     -10.00     2.5431     2.0679
2011.9521     -1.77     -11.09     2.5434     2.0678
2011.9548     -1.84     -10.63     2.4539     1.9777
2011.9575     -1.36     -11.02     2.4742     2.0095
2011.9603     -1.64     -11.36     2.4277     1.9377
2011.9630     -1.06     -10.17     2.5205     2.0310
2011.9658     -1.88     -9.87     2.4029     1.9539
2011.9685     -0.89     -10.17     2.3334     1.8922
2011.9712     -0.35     -11.01     2.3795     1.9137
