#YYYY.DECM     baseline(mm)     azimuth(millisecond)     sigma_baseline(mm)     sigma_azimuth(millisecond)
2011.9712     5.84     -8.57     2.3283     3.8840
2011.9740     8.48     -15.56     2.6018     4.0851
2011.9767     -2.35     11.60     2.7249     4.3095
2011.9795     5.05     -3.63     2.7745     4.2450
2011.9822     6.29     -6.19     2.6902     4.4007
2011.9849     10.52     -0.72     2.5042     4.1423
2011.9877     16.39     -19.50     2.7715     4.6392
2011.9904     14.64     -12.50     2.7762     4.5638
2011.9932     2.11     -0.11     2.5916     4.1445
2011.9959     0.92     1.14     2.5896     4.3055
2011.9986     -5.28     13.42     2.5925     4.3056
2012.0014     4.45     -8.69     2.7754     4.4032
2012.0041     19.01     18.77     2.9492     4.8936
2012.0068     11.43     3.84     2.7733     4.5624
2012.0096     13.24     2.15     2.9124     4.6625
2012.0123     21.60     -7.75     2.8242     4.2474
2012.0150     25.96     -23.07     2.8264     4.6593
2012.0178     18.22     -16.26     2.6402     4.3992
2012.0205     -1.35     -9.39     2.9108     4.5666
2012.0232     2.28     2.01     3.0484     4.6658
2012.0260     9.96     -0.08     2.7747     4.5631
2012.0287     11.49     15.97     2.9937     4.8115
2012.0314     5.37     15.57     2.6396     4.3070
2012.0342     9.37     9.45     3.0832     4.8253
2012.0369     7.81     -1.13     3.2204     4.9263
2012.0451     24.45     -1.63     2.9124     4.6616
2012.0478     23.28     -3.97     2.8263     4.3482
2012.0505     15.90     -5.40     2.7739     4.4026
2012.0533     21.81     8.40     2.8250     4.4056
2012.0560     27.97     -5.02     2.9500     4.7297
2012.0587     5.68     -1.03     3.1725     4.9862
2012.0615     22.67     -11.87     2.9478     4.6435
2012.0642     6.10     3.80     3.0816     4.8143
2012.0669     6.68     -4.03     2.7745     4.1491
2012.0697     15.97     -17.32     2.6025     3.9853
2012.0724     13.72     -17.25     2.9450     4.3168
2012.0751     13.47     -11.43     2.6784     4.1468
2012.0779     14.22     -15.81     2.9014     4.4784
2012.0806     6.43     -13.17     3.0363     4.4832
2012.0833     5.68     -12.39     3.0396     4.4826
2012.0861     20.53     -14.80     2.6374     4.1455
2012.0888     9.83     0.46     2.7240     4.1489
2012.0915     8.30     2.58     3.2131     4.7376
2012.0943     7.97     -10.18     2.7740     4.1505
2012.0970     20.98     -13.76     2.9101     4.5048
2012.0997     8.96     -1.44     3.0832     4.8265
2012.1025     7.17     2.90     2.7731     4.2455
2012.1052     22.37     -13.64     2.7240     4.1483
2012.1079     12.29     9.33     2.9039     4.6431
2012.1107     15.16     15.27     3.4403     5.4869
2012.1134     7.40     16.02     3.4370     5.2400
2012.1161     12.98     6.45     3.0359     4.7328
2012.1189     21.87     -3.52     3.1735     4.8186
2012.1216     23.74     -14.10     2.9622     4.5068
2012.1243     5.12     -18.20     3.1706     4.5754
2012.1270     23.24     -17.43     2.8607     4.5659
2012.1298     25.24     18.62     3.0343     4.4118
2012.1325     21.57     -6.62     3.2173     4.6709
2012.1352     18.33     -8.09     2.9500     4.7302
2012.1380     2.72     1.92     2.9973     4.5706
2012.1407     7.49     -3.85     2.8628     4.6604
2012.1434     2.53     6.61     3.3055     5.1556
2012.1462     1.73     6.25     3.0798     4.8156
2012.1489     22.35     -11.37     3.1250     4.8989
2012.1516     23.56     -14.89     3.8405     5.3369
2012.1544     19.95     -6.97     3.1702     4.5758
2012.1571     8.54     -6.27     3.2139     4.9025
2012.1598     12.00     2.64     3.0811     4.6494
2012.1626     9.33     3.57     3.4467     5.1623
2012.1653     14.00     2.70     3.5233     5.0008
2012.1680     18.52     -3.50     3.3034     4.9046
2012.1708     10.22     -2.68     3.0381     4.7336
2012.1735     4.33     -1.89     3.0376     4.7321
2012.1762     3.30     -0.04     2.9496     4.6452
2012.1790     19.03     -16.46     3.0180     4.7651
2012.1817     17.85     -25.43     3.3040     5.0871
2012.1844     18.98     -22.34     3.2179     4.7721
2012.1872     12.90     -18.94     3.3070     5.2350
2012.1899     11.17     -20.27     2.9483     4.7308
2012.1926     17.80     -16.54     3.3041     4.6561
2012.1954     14.26     -15.99     2.9500     4.7297
2012.1981     21.30     -17.66     3.5766     5.2444
2012.2008     15.34     -2.50     3.4797     5.3230
2012.2036     11.10     2.63     3.7637     5.5865
2012.2063     6.32     1.58     3.5791     5.3364
2012.2090     8.50     -2.68     2.7263     4.3087
2012.2117     7.16     -2.03     3.0807     4.6486
2012.2145     5.42     -5.06     3.1705     4.6514
2012.2172     14.21     -6.72     3.0376     4.7336
2012.2199     -3.08     -4.28     4.0783     5.9368
2012.2227     -0.87     2.45     3.4801     4.9986
2012.2254     7.48     -3.85     2.9103     4.5672
2012.2281     0.68     -6.30     3.0477     4.5102
2012.2309     11.00     -11.60     4.3979     7.2233
2012.2336     -2.44     -6.41     4.3004     6.1860
2012.2363     8.17     -6.73     4.0673     6.4226
2012.2391     -3.79     -0.84     3.7089     5.6621
2012.2418     15.10     -18.08     3.7128     5.4183
2012.2445     10.08     -17.10     3.7483     5.3327
2012.2473     3.23     -3.65     3.2126     4.6530
2012.2500     -0.65     -6.21     3.4843     4.9955
2012.2527     6.13     -3.20     3.3181     4.7467
2012.2555     1.80     -4.53     3.1697     4.7363
2012.2582     7.18     -3.54     3.7923     5.4988
2012.2609     2.50     -2.87     3.4373     4.9100
2012.2637     5.10     -3.05     3.6156     5.0799
2012.2664     -0.03     3.59     3.3483     4.9056
2012.2691     3.50     3.79     3.2145     4.6532
2012.2719     4.02     0.12     3.7084     5.5847
2012.2746     2.41     0.15     3.6702     5.2475
2012.2773     1.16     7.26     3.4796     4.9988
2012.2801     2.79     -1.28     3.7491     5.4974
2012.2828     2.12     -6.74     3.1317     4.6688
2012.2855     14.58     -14.22     3.3061     5.1548
2012.2883     1.93     1.37     3.7521     5.6635
2012.2910     5.40     -19.08     4.4195     6.0182
2012.2937     -15.29     2.69     3.8839     5.5863
2012.2964     -8.25     -8.45     3.4817     5.3239
2012.2992     10.08     -11.61     4.4470     6.5320
2012.3019     7.84     -4.91     3.0358     4.4816
2012.3046     7.84     -0.93     3.1744     4.9863
2012.3074     18.78     -3.64     3.7071     5.5817
2012.3101     31.33     -16.40     4.1079     5.8449
2012.3128     0.70     -7.62     3.4830     5.5741
2012.3156     4.25     -6.83     3.5277     5.4896
2012.3183     -3.58     -0.61     4.5610     6.5179
2012.3210     5.72     -7.65     4.0169     6.0047
2012.3238     12.87     -6.07     3.9341     6.0052
2012.3265     8.35     -2.71     3.9741     5.7536
2012.3292     0.36     -0.69     3.9843     6.0076
2012.3320     2.18     -4.07     3.1736     5.1500
2012.3347     2.84     1.94     4.9280     7.7068
2012.3374     4.57     -1.84     2.9483     4.7294
2012.3402     5.70     0.68     3.1671     4.5762
2012.3429     6.25     -3.18     3.4480     4.9945
2012.3456     8.76     -3.19     3.2623     4.8209
2012.3484     6.16     -1.49     3.6710     5.3401
2012.3511     11.17     -1.14     3.8521     5.7597
2012.3538     7.02     -2.44     3.5770     5.3379
2012.3566     9.24     0.89     3.7094     5.4169
2012.3593     6.60     4.48     3.5280     5.1665
2012.3620     9.17     0.31     3.0354     4.6472
2012.3648     6.08     -5.30     3.5774     5.4119
2012.3675     9.27     0.14     3.1722     4.8999
2012.3702     13.51     -1.39     3.5799     5.4120
2012.3730     8.93     1.01     3.3946     5.0733
2012.3757     7.02     7.79     3.4864     5.4091
2012.3784     7.57     -1.56     3.7625     5.3434
2012.3811     7.81     -0.56     3.2143     4.9875
2012.3839     2.62     2.09     3.4843     4.9955
2012.3866     9.21     -0.06     2.7268     4.3096
2012.3893     5.25     2.10     3.5778     5.5081
2012.3921     8.40     5.06     3.5387     5.1660
2012.3948     4.88     -0.07     3.7254     5.5127
2012.3975     9.32     -4.01     3.5063     5.6787
2012.4003     6.35     -4.29     4.0784     5.9376
2012.4030     5.29     -0.17     3.5800     5.5080
2012.4057     3.61     -2.43     4.1053     6.2177
2012.4085     6.90     -0.38     3.4378     5.4075
2012.4112     7.77     -1.14     2.9031     4.4782
2012.4139     8.86     -0.71     2.8998     4.4781
2012.4167     7.83     3.04     3.4475     5.3329
2012.4194     3.28     -3.45     3.6727     5.7530
2012.4221     8.69     2.10     3.3051     5.2357
2012.4249     6.54     2.57     3.3959     5.4061
2012.4276     6.86     3.78     3.4843     4.9949
2012.4303     4.99     -3.64     3.6683     5.7540
2012.4331     8.46     -0.98     3.5791     5.3371
2012.4358     6.77     5.46     3.1276     5.0640
2012.4385     2.50     -3.81     3.3500     5.2371
2012.4413     6.33     -2.40     2.8593     4.3146
2012.4440     7.46     2.39     3.2620     4.8207
2012.4467     6.01     1.51     2.9971     4.8225
2012.4495     8.23     -3.69     3.3543     4.9912
2012.4522     6.93     -3.97     3.2200     5.0847
2012.4549     6.77     -4.39     2.8594     4.6425
2012.4577     6.55     -4.25     2.4661     3.9811
2012.4604     6.41     -3.52     2.8132     4.4754
2012.4631     5.74     -0.64     2.8607     4.5657
2012.4658     6.87     3.78     3.2600     4.9040
2012.4686     4.38     -6.81     3.2600     4.9040
2012.4713     5.47     -4.86     2.9019     4.5676
