#YYYY.DECM     baseline(mm)     azimuth(millisecond)     sigma_baseline(mm)     sigma_azimuth(millisecond)
2011.7932     -0.64     2.47     4.3171     5.3199
2011.7959     0.80     3.32     4.1152     5.0143
2011.7986     -0.71     1.37     4.0727     4.9304
2011.8014     -0.57     -0.16     4.1619     5.0025
2011.8041     -0.56     -0.46     4.2564     5.0894
2011.8068     -0.99     3.35     4.6015     5.5308
2011.8096     3.75     -0.14     4.5377     5.5586
2011.8123     1.22     1.69     4.0608     4.9490
2011.8151     -0.06     -1.12     4.2136     5.1040
2011.8178     -4.23     0.88     4.6177     5.5393
2011.8205     1.90     1.18     4.1399     5.0894
2011.8233     -1.58     0.02     4.0873     5.0260
2011.8260     0.74     0.53     4.5757     5.5169
2011.8288     -1.40     -1.04     4.0726     4.9303
2011.8315     -1.06     2.80     4.1991     5.0591
2011.8342     0.43     3.53     4.3238     5.2487
2011.8370     -0.91     2.90     4.7511     5.6282
2011.8397     -0.75     0.20     4.2304     5.1125
2011.8425     0.22     0.82     3.9620     4.7987
2011.8452     -1.01     0.87     3.8932     4.7364
2011.8479     -2.26     -0.43     4.7311     5.6377
2011.8507     -0.37     0.63     4.3733     5.3483
2011.8534     0.10     0.40     4.2621     5.1543
2011.8562     1.45     2.07     3.9483     4.8038
2011.8589     -0.39     0.30     3.8803     4.6929
2011.8616     -0.19     0.60     3.7278     4.5777
2011.8644     -0.11     1.55     4.2355     5.1768
2011.8671     -0.96     0.12     3.8746     4.7186
2011.8699     -3.13     0.61     3.8789     4.6922
2011.8726     -2.13     1.40     4.0018     4.9185
2011.8753     -2.45     -1.54     4.3560     5.1801
2011.8781     -1.23     0.02     3.8349     4.7062
2011.8808     -0.20     0.70     4.5402     5.4001
2011.8836     -1.96     -0.27     4.1732     5.0373
2011.8863     -0.58     1.12     4.0339     4.8491
2011.8890     -1.94     1.66     3.9021     4.7045
2011.8918     -1.85     2.32     3.9336     4.7581
2011.8945     -0.94     2.15     3.8044     4.5551
2011.8973     -3.06     0.44     4.1562     5.0290
2011.9000     -2.04     0.51     3.9935     4.7898
2011.9027     -1.40     0.13     3.6836     4.4908
2011.9055     -1.30     1.24     3.7552     4.5647
2011.9082     -0.15     0.82     4.0313     4.9085
2011.9110     -0.50     1.43     3.7040     4.5016
2011.9137     0.79     0.97     3.8810     4.6933
2011.9164     -1.41     -1.25     3.7545     4.5643
2011.9192     -0.50     -0.08     3.7773     4.6761
2011.9274     -0.85     2.30     4.5354     5.6171
2011.9301     -0.39     0.43     4.5934     5.4657
2011.9329     -1.45     0.61     3.9572     4.8696
2011.9356     -2.18     -0.27     4.1102     5.0380
2011.9384     -0.23     -1.83     3.9184     4.8119
2011.9411     4.19     -0.98     4.2740     5.1874
2011.9438     1.70     1.48     4.2113     5.1544
2011.9466     0.06     1.20     4.1490     5.1531
2011.9493     -1.31     -1.10     3.8591     4.7809
2011.9521     0.66     0.33     3.6961     4.5342
2011.9548     -1.12     1.42     3.7216     4.6098
2011.9575     4.96     1.09     3.9967     4.9524
2011.9603     -0.41     1.83     4.0141     4.9999
2011.9630     -1.04     1.17     3.9009     4.8404
2011.9658     -2.66     0.32     3.9104     4.6845
2011.9685     -1.56     -1.19     3.6966     4.5339
2011.9712     -4.41     2.02     3.7205     4.6096
2011.9740     -1.12     1.08     3.9640     4.7998
2011.9767     0.79     2.46     4.0428     4.9397
2011.9795     -3.09     3.51     4.1879     5.0789
2011.9822     -1.52     4.01     3.9774     4.8427
2011.9849     3.87     4.16     3.6439     4.4704
2011.9877     5.66     1.58     4.1103     5.0493
2011.9904     -0.29     0.37     4.2953     5.1988
2011.9932     -0.50     0.05     3.7026     4.5009
2011.9959     -1.10     0.45     3.9139     4.7388
2011.9986     -1.14     1.60     3.6827     4.4900
2012.0014     -4.48     -2.11     4.0491     4.8575
2012.0041     -1.84     8.01     3.9848     5.0095
2012.0068     -1.53     2.76     3.9734     4.8785
2012.0096     -0.06     2.14     4.1513     5.0714
2012.0123     1.57     2.85     4.2231     5.0715
2012.0150     3.65     4.21     3.9056     4.7690
2012.0178     2.57     0.82     3.9259     4.7801
2012.0205     6.00     3.71     4.0640     4.9512
2012.0232     -3.31     1.30     3.9419     4.7258
2012.0260     -3.46     -1.95     4.0558     4.9831
2012.0287     -1.50     1.10     4.0531     5.0204
2012.0342     -3.52     3.33     4.4593     5.3567
2012.0369     -2.13     -1.06     4.2323     5.0536
2012.0396     -2.20     -0.53     3.8196     4.6609
2012.0423     5.33     5.50     3.7372     4.5556
2012.0451     0.03     4.06     3.9391     4.7242
2012.0478     -4.56     -0.06     3.9406     4.7250
2012.0505     -2.57     6.43     3.8513     4.7059
2012.0533     -9.99     1.38     4.3579     5.2049
2012.0560     2.14     3.35     4.1286     4.9981
2012.0587     -4.22     0.04     4.1390     4.9694
2012.0615     4.02     0.99     3.9671     4.7938
2012.0642     -3.86     -2.06     4.0089     4.8357
2012.0669     -1.27     -0.29     4.0367     4.8129
2012.0697     7.12     0.93     4.0257     4.8326
2012.0724     0.09     -3.22     4.6902     5.4589
2012.0751     1.87     1.32     3.9497     4.8044
2012.0779     1.16     1.19     4.1547     4.8771
