#YYYY.DECM     baseline(mm)     azimuth(millisecond)     sigma_baseline(mm)     sigma_azimuth(millisecond)
2012.2582     -3.18     7.23     6.0242     5.8438
2012.2609     -1.20     4.35     5.6749     5.1071
2012.2637     -5.03     6.23     6.6828     5.8240
2012.2664     2.24     2.34     5.6125     5.3959
2012.2691     4.97     -0.57     5.9144     5.4588
2012.2719     4.51     3.91     4.9660     5.0193
2012.2746     0.80     -0.79     5.7920     5.0576
2012.2773     -6.27     4.31     5.3457     5.2804
2012.2801     -1.63     0.40     5.3761     5.3877
2012.2828     -3.94     3.25     4.9505     4.7802
2012.2855     -1.64     7.82     5.1491     5.2587
2012.2883     0.77     2.56     4.9345     5.0603
2012.2910     -8.78     2.50     6.6225     6.0191
2012.2937     -5.92     2.15     6.4993     6.1508
2012.2964     4.11     2.54     5.4261     5.4542
2012.2992     -15.14     1.55     5.7575     5.8010
2012.3019     -2.19     -1.03     5.4448     5.3316
2012.3046     2.53     3.90     4.5934     4.7112
2012.3074     -8.77     -1.35     5.9241     6.0706
2012.3101     -12.53     0.75     6.1793     5.8597
2012.3128     -12.94     2.86     5.1514     5.4023
2012.3156     -7.63     3.65     5.8350     5.9690
2012.3183     -13.76     -0.23     6.5123     6.3057
2012.3210     -9.56     -2.93     7.2522     7.1522
2012.3238     2.88     3.95     7.9521     6.4079
2012.3265     -5.37     3.51     6.1509     5.8644
2012.3292     6.42     2.55     6.6046     6.5560
2012.3320     -1.08     -3.02     5.1674     5.6378
2012.3347     2.86     -0.65     6.7253     7.1467
2012.3374     1.21     0.25     6.1190     6.3934
2012.3402     6.05     -1.13     5.1976     5.1033
2012.3429     8.98     -6.20     5.6059     5.0974
2012.3456     0.39     1.84     4.2376     4.3390
2012.3484     0.79     -2.12     5.6731     5.3285
2012.3511     1.10     0.36     6.6116     6.7096
2012.3538     -0.56     -0.82     6.8362     7.0626
2012.3566     -5.94     7.14     6.5046     6.3004
2012.3593     4.87     -4.27     6.4236     6.2996
2012.3620     -5.24     -1.64     5.4856     5.5334
2012.3648     -0.93     -0.72     5.5404     5.7378
2012.3675     3.64     -5.39     5.4470     5.7635
2012.3702     -0.41     1.79     5.9756     6.1423
2012.3730     3.07     -2.18     5.5484     5.4639
2012.3757     -2.23     0.78     5.3612     5.5148
2012.3784     4.68     -0.75     5.8900     5.8212
2012.3811     1.82     1.53     5.4657     5.6233
2012.3839     0.54     -4.38     5.5528     5.3919
2012.3866     -0.13     1.36     5.2936     5.4318
2012.3893     -2.34     0.51     6.3292     6.2887
2012.3921     1.25     0.54     6.3827     6.2073
2012.3948     3.81     2.53     6.0157     5.6881
2012.3975     -2.02     1.92     5.1339     5.1684
2012.4003     -3.21     -7.94     6.1064     6.1581
2012.4030     -2.75     -3.95     4.9995     4.9934
2012.4057     2.03     0.96     5.5139     5.7151
2012.4085     3.78     5.36     5.1477     5.3247
2012.4112     2.42     0.53     4.0319     4.1566
2012.4139     -4.14     -1.49     4.5195     4.6130
2012.4167     4.75     -0.66     4.6595     4.8651
2012.4194     2.52     -1.50     5.5123     5.7148
2012.4221     -1.57     2.17     5.3846     5.6822
2012.4249     1.41     2.05     5.3415     5.3527
2012.4276     0.16     -4.92     6.0392     6.0089
2012.4303     3.37     -6.31     5.4993     5.7626
2012.4331     1.43     -1.13     5.2544     5.2210
2012.4358     -0.76     -3.94     5.9471     6.0428
2012.4385     4.86     0.12     5.0759     5.0808
2012.4413     1.12     -0.91     4.6002     4.6417
2012.4440     3.51     -0.15     4.8795     4.9908
2012.4467     7.73     -0.12     5.1120     5.4887
2012.4495     3.93     0.44     5.2269     5.2804
2012.4522     -1.06     0.94     5.2084     5.2582
2012.4549     1.87     0.97     4.5919     4.7777
2012.4577     0.82     4.24     5.0749     5.0907
2012.4604     0.24     1.58     4.8168     4.8915
2012.4631     3.11     -0.33     4.8028     5.0410
2012.4658     1.63     -6.16     4.5934     4.7108
2012.4686     4.61     -0.03     4.9034     4.9443
2012.4713     1.14     -0.51     4.4152     4.4604
2012.4740     1.82     -3.13     4.7241     4.7316
2012.4768     2.92     0.34     4.1173     4.4048
2012.4795     0.49     1.54     4.6154     4.8867
2012.4822     5.06     0.27     4.3218     4.3624
2012.4850     1.16     0.21     4.1151     4.2500
2012.4877     0.97     -1.03     3.9650     4.1437
2012.4904     1.00     -0.01     4.0618     4.3241
2012.4932     -1.13     6.03     4.9451     5.0653
2012.4959     2.72     3.08     5.7859     5.7744
2012.4986     1.51     1.72     5.4375     5.4535
2012.5014     0.14     2.24     5.0020     5.0704
2012.5041     1.76     0.69     4.6701     4.7964
2012.5068     3.12     -0.11     4.7960     4.8884
2012.5096     3.51     0.25     4.6686     4.8051
2012.5123     0.64     2.01     5.1522     5.3255
2012.5150     -0.49     -2.79     5.1366     5.1006
2012.5178     1.52     -2.67     5.2379     5.2184
2012.5205     1.14     -0.70     5.6120     5.3959
2012.5232     1.44     -2.79     4.4600     4.7590
2012.5260     1.35     1.02     4.8007     4.8159
2012.5287     0.71     -3.96     4.7994     4.8162
2012.5314     4.32     -2.11     5.0591     5.0032
2012.5342     4.79     0.56     4.7994     4.9688
2012.5369     2.09     1.61     4.0451     4.2389
2012.5396     2.78     -0.76     3.9801     4.3039
2012.5423     4.18     -0.40     4.3003     4.2775
2012.5451     -1.29     1.98     4.8765     4.7546
2012.5478     2.58     0.33     4.4485     4.5266
2012.5505     2.60     2.01     5.4267     5.4508
2012.5533     2.63     -1.15     4.3798     4.5167
2012.5560     5.77     -0.17     5.2009     5.0395
2012.5587     1.49     0.32     5.1961     4.9573
2012.5615     4.94     -0.12     4.3118     4.3617
2012.5642     3.77     0.32     5.0061     5.0744
2012.5669     1.48     -3.75     5.1559     5.1166
2012.5697     4.48     1.46     4.9336     5.0366
2012.5724     5.39     0.96     4.8428     4.6683
2012.5751     2.69     1.49     4.1059     4.2423
2012.5779     3.72     0.16     4.3908     4.6706
2012.5806     4.55     -0.57     4.9997     5.0697
2012.5833     5.60     -0.99     4.7602     4.9732
2012.5861     1.16     -0.31     5.1186     4.7125
2012.5888     4.52     -0.20     4.7287     4.8040
2012.5915     2.16     6.20     4.9661     5.0202
2012.5943     5.50     -0.73     4.9805     4.7626
2012.5970     4.83     -0.09     4.2366     4.3381
2012.5997     3.51     2.25     4.8579     4.8232
2012.6025     4.38     0.72     4.6733     4.8772
2012.6052     7.11     2.78     5.0035     5.1487
2012.6079     5.48     -0.90     5.0585     5.0078
2012.6107     2.15     3.13     4.7346     4.8800
