#YYYY.DECM     baseline(mm)     azimuth(millisecond)     sigma_baseline(mm)     sigma_azimuth(millisecond)
2015.1192     -2.13     -2.86     2.9986     4.5398
2015.1219     0.37     -4.85     3.0484     4.5584
2015.1247     -0.71     -3.30     3.0272     4.6244
2015.1274     -1.02     -2.81     3.1530     4.5948
2015.1301     -0.66     -2.86     2.7030     3.8877
2015.1329     1.03     -4.23     2.8220     4.2009
2015.1356     -0.87     -3.18     2.9814     4.4675
2015.1384     0.13     -4.26     3.1766     4.6761
2015.1411     -1.55     -2.89     3.2330     4.9090
2015.1438     -2.57     -1.77     3.3129     5.0251
2015.1466     0.38     -3.76     2.9460     4.5233
2015.1493     -0.51     -3.50     2.9991     4.5411
2015.1521     -0.78     -1.71     3.1894     4.7484
2015.1548     1.28     -4.01     3.2721     4.8561
2015.1575     -1.80     -3.68     3.4171     5.1053
2015.1603     -1.23     -3.40     3.1364     4.7281
2015.1630     0.08     -2.73     3.1413     4.7365
2015.1658     -0.72     -3.00     2.9620     4.3881
2015.1685     0.48     -2.31     2.9205     4.1794
2015.1712     0.51     -6.04     2.9966     4.5420
2015.1740     0.21     -4.16     2.8710     4.2171
2015.1767     -1.38     -1.92     3.3086     5.0084
2015.1795     -1.12     -6.21     2.9613     4.3868
2015.1822     0.40     -1.27     3.1735     4.8803
2015.1849     0.32     -5.86     2.9958     4.5394
2015.1877     -2.11     -2.91     2.9805     4.4644
2015.1904     -2.52     -2.73     3.1775     4.6395
2015.1932     -0.49     -3.28     2.9955     4.4969
2015.1959     -0.33     -2.82     3.1312     4.6679
2015.1986     -0.50     -2.97     3.3472     5.1636
2015.2014     -1.52     -0.99     3.0849     4.5036
2015.2041     -1.90     -2.29     3.4523     5.4146
2015.2068     -2.20     1.26     3.1774     4.6764
2015.2096     -1.04     -6.13     3.1408     4.5233
2015.2123     -0.33     -2.55     3.4220     5.1134
2015.2151     -0.88     -2.03     3.2802     4.9182
2015.2178     0.43     -0.79     3.2990     4.9987
2015.2205     0.40     -4.92     3.2930     4.7825
2015.2233     -2.25     -2.55     3.4029     5.0390
2015.2260     -1.40     -2.98     3.1326     4.8409
2015.2288     -0.53     -5.41     3.0735     4.6379
2015.2315     -1.73     -1.87     3.4384     5.1821
2015.2342     -1.57     -4.80     3.5511     5.4375
2015.2370     -0.62     -5.49     3.4311     5.1264
2015.2397     -0.38     -4.68     3.7043     5.6975
2015.2425     -0.48     0.06     3.5055     5.2173
2015.2452     -2.12     1.32     3.7575     5.7157
2015.2479     -3.27     3.36     3.9490     5.8784
2015.2507     0.60     -0.36     4.3637     6.6307
2015.2534     -2.84     11.27     4.2017     6.3191
2015.2562     -1.29     -1.84     3.4760     5.1315
2015.2589     -2.06     -1.90     3.2983     4.9949
2015.2616     -1.47     -4.21     3.5502     5.4006
2015.2644     1.43     -3.84     3.2252     4.8386
2015.2671     -1.76     -3.21     3.3878     5.0668
2015.2699     0.41     -4.10     3.4775     5.3392
2015.2726     0.74     -2.96     3.2135     4.7893
2015.2753     -0.97     -0.67     3.2137     4.8288
2015.2781     -2.54     -2.12     3.2987     4.9973
2015.2808     -1.73     -0.20     3.6194     5.6759
2015.2836     -0.31     -0.36     3.3554     5.0247
2015.2863     -2.98     -0.75     3.3729     5.0959
2015.2890     -2.26     0.83     3.5318     5.3589
2015.2918     -1.98     -0.98     3.3114     4.8583
2015.2945     -0.55     -3.42     3.2426     4.7653
2015.2973     -1.48     -1.66     3.7089     5.6976
2015.3000     -0.74     -0.98     3.7055     5.4368
2015.3027     -0.97     -2.65     3.4029     5.0345
2015.3055     -0.88     -5.96     3.2710     5.0603
2015.3082     -0.79     -4.21     3.3122     5.0232
2015.3110     -3.87     -0.78     3.4206     5.1126
2015.3137     -2.27     -0.55     3.3346     5.1492
2015.3164     -1.10     1.32     3.3296     4.9356
2015.3192     -1.28     -2.43     3.4882     5.1995
2015.3219     -0.42     -4.57     3.6713     5.5454
2015.3247     -5.82     0.69     3.8311     5.8151
2015.3274     -0.56     -0.85     3.5974     5.4468
2015.3301     -2.45     1.88     3.9051     5.8197
2015.3329     1.05     -4.85     3.9341     5.8491
2015.3356     -2.47     -5.11     3.2452     4.7740
2015.3384     -0.81     -1.35     3.3729     5.0959
2015.3411     -2.40     -0.79     3.6914     5.6274
2015.3438     -3.98     0.33     3.9015     6.0189
2015.3466     -3.58     -5.99     4.0185     6.0134
2015.3493     -2.71     -2.55     3.8684     5.7603
2015.3521     -5.59     0.12     3.3961     4.9768
2015.3548     -1.43     0.18     3.9857     6.0284
2015.3575     -2.63     0.07     3.4084     5.1532
2015.3603     -2.55     -3.50     3.8390     5.9776
2015.3630     -3.51     -2.25     3.6475     5.4656
2015.3658     -1.46     1.65     3.6073     5.3605
2015.3685     -1.94     -1.36     3.9336     6.0552
2015.3712     -2.11     -3.18     3.3115     4.8619
2015.3740     -1.90     -1.18     3.4023     5.0328
2015.3767     -3.22     -1.55     3.8057     5.6756
2015.3795     -4.04     -0.64     3.8493     5.6798
2015.3822     -1.36     -1.40     3.4118     5.0440
2015.3849     -2.34     -0.64     3.3289     5.0915
2015.3877     -3.26     1.64     4.0614     6.0114
2015.3904     -1.13     -1.69     3.6109     5.3143
2015.3932     -6.18     -1.23     3.2429     4.7668
2015.3959     -0.60     -1.32     3.4542     5.1148
2015.3986     -3.22     -1.55     3.2712     4.8547
2015.4014     -2.67     3.27     3.3998     5.0318
2015.4041     -2.82     -1.13     3.5689     5.3031
2015.4068     -0.21     -2.85     3.5253     5.1448
2015.4096     -1.45     -1.45     3.8133     5.5285
2015.4123     -3.69     -0.96     3.7462     5.5486
2015.4151     -3.34     -0.68     3.8790     5.8255
2015.4178     -2.90     1.30     3.5072     5.2811
2015.4205     -1.17     -0.19     3.6832     5.4100
