#YYYY.DECM     baseline(mm)     azimuth(millisecond)     sigma_baseline(mm)     sigma_azimuth(millisecond)
2015.2973     1.37     3.58     3.7089     5.6976
2015.3000     2.12     4.27     3.7055     5.4368
2015.3027     1.89     2.59     3.4029     5.0345
2015.3055     1.98     -0.72     3.2710     5.0603
2015.3082     2.07     1.02     3.3122     5.0232
2015.3110     -1.00     4.45     3.4206     5.1126
2015.3137     0.61     4.67     3.3346     5.1492
2015.3164     1.78     6.54     3.3296     4.9356
2015.3192     1.59     2.79     3.4882     5.1995
2015.3219     2.46     0.65     3.6713     5.5454
2015.3247     -2.93     5.90     3.8311     5.8151
2015.3274     2.32     4.35     3.5974     5.4468
2015.3301     0.44     7.08     3.9051     5.8197
2015.3329     3.94     0.35     3.9341     5.8491
2015.3356     0.43     0.09     3.2452     4.7740
2015.3384     2.09     3.84     3.3729     5.0959
2015.3411     0.50     4.40     3.6914     5.6274
2015.3438     -1.08     5.52     3.9015     6.0189
2015.3466     -0.67     -0.81     4.0185     6.0134
2015.3493     0.20     2.63     3.8684     5.7603
2015.3521     -2.67     5.29     3.3961     4.9768
2015.3548     1.49     5.35     3.9857     6.0284
2015.3575     0.29     5.24     3.4084     5.1532
2015.3603     0.37     1.66     3.8390     5.9776
2015.3630     -0.58     2.91     3.6475     5.4656
2015.3658     1.47     6.81     3.6073     5.3605
2015.3685     0.99     3.79     3.9336     6.0552
2015.3712     0.82     1.97     3.3115     4.8619
2015.3740     1.04     3.96     3.4023     5.0328
2015.3767     -0.28     3.60     3.8057     5.6756
2015.3795     -1.10     4.50     3.8493     5.6798
2015.3822     1.59     3.73     3.4118     5.0440
2015.3849     0.61     4.49     3.3289     5.0915
2015.3877     -0.31     6.77     4.0614     6.0114
2015.3904     1.83     3.43     3.6109     5.3143
2015.3932     -3.22     3.89     3.2429     4.7668
2015.3959     2.36     3.80     3.4542     5.1148
2015.3986     -0.26     3.56     3.2712     4.8547
2015.4014     0.29     8.38     3.3998     5.0318
2015.4041     0.14     3.98     3.5689     5.3031
2015.4068     2.76     2.25     3.5253     5.1448
2015.4096     1.52     3.64     3.8133     5.5285
2015.4123     -0.71     4.14     3.7462     5.5486
2015.4151     -0.36     4.41     3.8790     5.8255
2015.4178     0.08     6.39     3.5072     5.2811
2015.4205     1.82     4.90     3.6832     5.4100
2015.4233     0.54     4.41     4.0008     5.9412
2015.4260     3.18     2.07     3.9724     5.7967
2015.4288     0.98     3.07     3.7106     5.4575
2015.4315     -0.21     4.62     3.4321     5.1283
2015.4342     1.50     2.34     3.7836     5.7000
